model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.3,80,298,120,1.5,50.0,47,0.3917,0.5875,0.47,47,0.3917,0.5875,0.47,0,0,1.0,0.841,1.089,0.4389,0.6564,0.8434,0.958,0.9894,0.7896,1.4105,29.89,0.334,574,4.44,27.03,132.1
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.5,80,219,104,1.3,30.0,47,0.4519,0.5875,0.5109,47,0.4519,0.5875,0.5109,0,0,1.0,0.841,1.089,0.6294,0.7678,0.8936,0.9725,0.9908,0.8502,1.8079,30.91,0.323,574,4.44,23.42,132.1
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.7,80,161,84,1.05,5.0,45,0.5357,0.5625,0.5488,45,0.5357,0.5625,0.5488,0,0,0.9875,0.841,1.087,0.7872,0.8289,0.9348,0.9812,0.9918,0.9047,2.0349,31.44,0.319,574,4.44,18.92,132.1
kprcnn-nojitter-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,332,128,1.438,43.8,60,0.4688,0.6854,0.5567,60,0.4688,0.6742,0.553,0,1,1.0,0.757,1.088,0.4842,0.7233,0.8687,0.9598,0.985,0.8122,1.8234,31.97,0.546,588,4.548,28.14,142.5
kprcnn-nojitter-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,250,114,1.281,28.1,58,0.5088,0.6629,0.5757,58,0.5088,0.6517,0.5714,0,1,1.0,0.757,1.023,0.6728,0.7872,0.9079,0.9645,0.9869,0.8626,2.1569,32.74,0.519,588,4.548,25.06,142.5
kprcnn-nojitter-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,184,100,1.124,12.4,55,0.55,0.6292,0.5869,55,0.55,0.618,0.582,0,1,1.0,0.757,1.037,0.7688,0.834,0.9216,0.9685,0.9879,0.8964,2.3478,33.32,0.506,588,4.548,21.99,142.5
kprcnn-nojitter-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,196,81,1.446,44.6,31,0.3827,0.5536,0.4526,31,0.3827,0.5536,0.4526,0,0,1.0,0.725,0.768,0.5175,0.6455,0.8214,0.924,0.9533,0.7692,1.7106,30.33,0.325,290,2.2,36.82,77.0
kprcnn-nojitter-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,144,74,1.321,32.1,30,0.4054,0.5357,0.4615,30,0.4054,0.5357,0.4615,0,0,1.0,0.725,0.766,0.6165,0.6961,0.8377,0.9283,0.9552,0.8044,1.9289,31.03,0.312,290,2.2,33.64,77.0
kprcnn-nojitter-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,88,55,0.982,1.8,25,0.4545,0.4464,0.4505,25,0.4545,0.4464,0.4505,0,0,0.9643,0.725,0.79,0.7627,0.8144,0.8749,0.9414,0.9602,0.8718,2.1412,31.52,0.296,290,2.2,25.0,77.0
kprcnn-nojitter-v1,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,trained,1,1,0.3,42,243,109,2.595,159.5,36,0.3303,0.8571,0.4768,36,0.3303,0.8571,0.4768,0,0,1.0,0.627,0.78,0.3678,0.574,0.806,0.9636,0.9933,0.7491,0.9219,27.46,0.455,677,6.257,17.42,124.0
kprcnn-nojitter-v1,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,trained,1,1,0.5,42,174,84,2.0,100.0,36,0.4286,0.8571,0.5714,36,0.4286,0.8571,0.5714,0,0,1.0,0.627,0.78,0.6469,0.7485,0.8999,0.9759,0.9944,0.8553,1.5856,29.81,0.375,677,6.257,13.42,124.0
kprcnn-nojitter-v1,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,trained,1,1,0.7,42,127,69,1.643,64.3,36,0.5217,0.8571,0.6486,36,0.5217,0.8571,0.6486,0,0,0.9762,0.627,0.78,0.7527,0.8246,0.9439,0.9867,0.9954,0.9039,2.1225,31.08,0.331,677,6.257,11.03,124.0
