model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0,0,1,0.79729,16.39,17.89,33.98,24.0,17.59,6.11,107.54,30.83,20.62,26.18,20.62,19.21,20.95,0.7764,1.1698,0.4956,0.8139,11.62,34.86,4.646,6.977,0.666,0.129,181.6,499307.48,5211382.13,499293.54,5211382.13,499272.64,5211381.16,4923.51,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,40,0,1,0.11677,92.0,39.3,104.0,46.07,12.0,6.77,81.2,103.83,43.33,101.83,43.33,94.17,42.04,-6.0039,-0.7524,0.9312,-1.9417,9.75,29.25,2.0,7.773,0.257,0.264,172.4,499526.5,5211314.01,499520.5,5211314.01,499497.51,5211317.87,4689.18,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,40,0,0,0.06415,67.58,34.4,78.11,41.43,10.53,7.02,73.94,76.96,36.16,70.38,37.12,75.64,35.84,-8.4923,-3.7221,-0.8506,-4.355,1.354,4.06,6.65,5.417,1.228,2.481,166.4,499445.87,5211335.52,499426.13,5211332.65,499441.92,5211336.48,4782.46,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,80,0,1,0.60893,93.71,38.53,107.64,47.06,13.93,8.53,118.76,104.82,45.25,101.17,42.96,94.54,41.97,0.3982,1.5715,-0.8342,0.3785,10.791,32.37,4.31,6.706,0.643,1.078,162.3,499529.46,5211308.24,499518.51,5211315.12,499498.61,5211318.08,4691.45,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,80,0,0,0.30842,109.97,59.25,120.36,64.0,10.39,4.75,49.3,114.03,61.63,116.3,61.31,114.03,63.21,2.951,-7.5426,-5.9627,-3.5181,1.582,4.75,2.295,2.961,0.775,2.273,270.0,499557.09,5211259.12,499563.91,5211260.07,499557.09,5211254.37,4626.9,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,80,0,0,0.11883,80.0,39.37,98.48,49.54,18.48,10.16,187.81,92.04,46.75,89.07,44.78,95.34,42.16,-4.3525,-4.5187,0.6443,-2.7423,5.653,16.96,3.562,6.796,0.524,3.56,54.3,499491.13,5211303.75,499482.22,5211309.65,499501.03,5211317.52,4721.91,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,40,40,1,0.09449,89.77,40.0,104.0,46.82,14.23,6.82,97.07,103.83,43.41,101.52,43.41,94.24,41.46,-5.9992,-0.4188,0.2981,-2.0399,9.793,29.38,2.317,7.537,0.307,0.461,168.5,499526.5,5211313.77,499519.55,5211313.77,499497.71,5211319.61,4689.93,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,80,40,1,0.95174,111.9,59.12,124.11,70.27,12.21,11.15,136.08,114.38,61.58,117.35,64.2,121.63,68.13,1.7905,2.6387,-1.2988,1.0435,9.782,29.35,3.962,5.82,0.681,0.044,317.9,499558.13,5211259.27,499567.04,5211251.4,499579.9,5211239.6,4620.4,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,80,40,0,0.72426,94.08,40.0,106.48,46.7,12.4,6.7,83.11,104.36,44.95,101.42,43.35,95.88,41.44,0.1785,0.7886,-0.7993,0.0559,9.182,27.55,3.342,5.869,0.57,0.352,157.5,499528.08,5211309.16,499519.27,5211313.95,499502.63,5211319.69,4690.26,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,120,40,1,0.0551,176.21,99.3,184.0,103.9,7.79,4.59,35.79,182.86,101.76,181.89,101.76,179.29,101.76,-1.6269,-1.5626,-2.1074,-1.7656,3.572,10.72,0.974,2.598,0.375,0.0,180.0,499763.59,5211138.71,499760.67,5211138.71,499752.87,5211138.71,4397.33,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,200,120,1,0.49935,207.61,158.59,219.94,172.96,12.32,14.38,177.17,212.11,161.04,213.44,165.61,217.44,170.18,-2.6696,-0.3325,-1.3711,-1.4577,10.587,31.76,4.764,6.074,0.784,1.151,300.2,499851.33,5210960.89,499855.32,5210947.17,499867.32,5210933.45,4233.35,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,200,120,0,0.10122,223.78,177.02,234.43,184.0,10.65,6.98,74.33,226.27,181.51,228.94,181.84,234.26,182.17,-0.6977,-0.5684,-6.6056,-2.6239,8.015,24.04,2.683,5.335,0.503,0.11,355.2,499893.82,5210899.48,499901.81,5210898.48,499917.78,5210897.48,4171.66,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,160,160,1,0.08943,206.7,160.0,219.47,174.47,12.77,14.47,184.87,211.12,160.16,212.1,163.78,217.34,171.02,-3.0069,-1.2396,-1.7577,-2.0014,12.513,37.54,3.75,8.935,0.42,0.947,299.8,499848.35,5210963.51,499851.3,5210952.65,499867.02,5210930.94,4239.19,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,200,160,1,0.51517,223.01,177.59,236.94,189.63,13.94,12.03,167.7,226.49,181.01,229.15,182.96,234.79,185.89,-1.8416,1.5238,-2.3809,-0.8996,9.623,28.87,3.295,6.355,0.518,0.336,329.5,499894.48,5210900.97,499902.44,5210895.12,499919.36,5210886.34,4169.79,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,200,160,0,0.22772,207.28,160.0,219.15,173.03,11.86,13.03,154.55,211.4,160.16,213.71,165.7,217.0,170.26,-2.5927,-1.0896,-1.8535,-1.8453,11.546,34.64,5.998,5.626,1.066,0.669,299.0,499849.21,5210963.51,499856.13,5210946.9,499866.01,5210933.23,4232.5,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,240,200,1,0.26334,267.7,225.79,279.62,237.71,11.92,11.92,142.13,270.51,228.27,273.16,231.25,278.46,235.56,-0.6001,0.8946,-2.5728,-0.7595,10.782,32.35,3.988,6.827,0.584,0.407,317.5,500026.54,5210759.18,500034.48,5210750.24,500050.38,5210737.32,3993.21,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,240,200,0,0.16743,293.9,259.07,304.0,264.0,10.1,4.93,49.83,297.65,261.86,301.56,262.19,301.88,259.23,0.0819,0.4793,-2.7519,-0.7302,4.986,14.96,3.924,2.978,1.318,2.342,31.8,500107.94,5210658.41,500119.67,5210657.43,500120.65,5210666.31,3880.51,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,280,200,1,0.06452,293.7,258.48,309.41,264.0,15.7,5.52,86.73,297.47,261.89,300.74,261.89,306.63,261.89,-0.333,-0.1035,-1.0944,-0.5103,9.16,27.48,3.271,5.888,0.556,0.0,0.0,500107.4,5210658.34,500117.21,5210658.34,500134.88,5210658.34,3883.13,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,240,240,1,0.12037,293.43,257.69,304.0,267.72,10.57,10.03,105.97,297.89,261.41,301.19,263.02,301.85,258.17,-0.882,0.6733,-2.5107,-0.9065,5.115,15.35,3.677,4.897,0.751,3.341,39.2,500108.67,5210659.78,500118.58,5210654.93,500120.56,5210669.48,3880.66,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,280,240,1,0.68737,294.02,257.69,307.4,269.61,13.38,11.92,159.55,297.44,261.16,300.71,263.48,304.62,267.46,-0.9512,1.718,-0.6439,0.0409,9.547,28.64,4.003,5.58,0.717,0.408,318.8,500107.33,5210660.51,500117.12,5210653.55,500128.87,5210641.63,3881.54,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,280,240,0,0.11848,325.05,271.93,339.17,286.52,14.11,14.59,205.95,336.05,283.7,332.77,280.05,328.83,274.75,-0.0035,0.5443,-0.4337,0.0357,11.503,34.51,4.907,6.608,0.743,0.265,128.9,500223.14,5210592.9,500213.3,5210603.84,500201.48,5210619.76,3774.09,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,320,240,1,0.07554,324.78,274.51,340.03,286.8,15.26,12.29,187.54,335.89,283.65,333.24,280.33,328.59,275.01,0.0562,0.3187,-1.4747,-0.3666,11.307,33.92,4.252,7.058,0.602,0.117,130.2,500222.67,5210593.05,500214.71,5210603.02,500200.77,5210618.97,3772.48,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,320,240,0,0.06611,326.28,271.56,336.71,284.07,10.43,12.51,130.51,335.24,282.92,332.96,280.28,329.05,274.03,-0.8369,-0.7256,0.2841,-0.4261,10.834,32.5,3.485,7.378,0.472,0.367,124.9,500220.73,5210595.24,500213.89,5210603.15,500202.15,5210621.91,3773.3,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,280,280,1,0.10576,328.89,280.0,337.63,285.35,8.73,5.35,46.71,336.17,283.93,333.91,281.1,331.32,281.1,-1.7802,-0.1487,-7.3206,-3.0832,5.617,16.85,3.626,2.587,1.401,1.304,149.7,500223.51,5210592.2,500216.72,5210600.7,500208.96,5210600.7,3769.79,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,280,280,0,0.05492,331.53,280.0,343.34,284.57,11.81,4.57,53.94,335.96,283.75,334.31,281.14,341.53,281.47,-2.5204,0.3041,-1.7779,-1.3314,6.028,18.08,3.082,7.227,0.426,3.036,22.3,500222.87,5210592.75,500217.94,5210600.58,500239.6,5210599.6,3768.6,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,280,280,0,0.0533,330.68,280.0,339.84,288.23,9.16,8.23,75.36,338.04,285.76,334.44,281.15,338.37,286.42,-1.4133,-0.1552,-7.5634,-3.0439,0.735,2.2,5.846,6.567,0.89,1.172,296.4,500229.12,5210586.73,500218.32,5210600.55,500230.1,5210584.75,3768.24,,0,
kprcnn-nojitter-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,320,280,1,0.73309,357.59,304.4,370.24,320.73,12.65,16.33,206.6,367.74,315.23,364.74,312.57,361.41,317.9,0.8342,3.3142,0.4,1.5161,6.866,20.6,4.011,6.286,0.638,3.62,202.8,500318.23,5210498.3,500309.23,5210506.3,500299.24,5210490.31,3650.81,,0,
